Hieroglyph,Gardiner,Description,Ideogram,,,,
𓈬,NL12,Nome sign with bull and calf,Calf and Bull (ṯb-kꜣ?),,,,
𓈬,U+1322C,Nome sign with bull and calf,Calf and Bull (ṯb-kꜣ?),,,,
𓈭,NL13,Nome sign with shuttle and crook,Prospering scepter (ḥqꜣ-ꜥḏ),,,,
𓈭,U+1322D,Nome sign with shuttle and crook,Prospering scepter (ḥqꜣ-ꜥḏ),,,,
𓈮,NL14,Nome sign with simplified jars and East-emblem,Foremost of the East (ḫnty-ỉꜣbty),,,,
𓈮,U+1322E,Nome sign with simplified jars and East-emblem,Foremost of the East (ḫnty-ỉꜣbty),,,,
𓈯,NL15,Nome sign with ibis,Thoth (ḏḥwty),,,,
𓈯,U+1322F,Nome sign with ibis,Thoth (ḏḥwty),,,,
𓈰,NL16,Nome sign with fish,Hatmehit (ḥꜣt-mḥyt),,,,
𓈰,U+13230,Nome sign with fish,Hatmehit (ḥꜣt-mḥyt),,,,
𓈱,NL17,"Nome sign with tusk, hand, bread loaf, and crossroads",Throne (bḥdt),,,,
𓈱,U+13231,"Nome sign with tusk, hand, bread loaf, and crossroads",Throne (bḥdt),,,,
𓈲,NL17a,"Nome sign with lungs, tusk, hand, bread loaf, and crossroads",Uniting the throne (?) (smꜣ-bḥdt),,,,
𓈲,U+13232,"Nome sign with lungs, tusk, hand, bread loaf, and crossroads",Uniting the throne (?) (smꜣ-bḥdt),,,,
𓈳,NL18,Nome sign with child wearing white crown and cow’s head,Southern prince (jmty-ḫnt),,,,
𓈳,U+13233,Nome sign with child wearing white crown and cow’s head,Southern prince (jmty-ḫnt),,,,
𓈴,NL19,Nome sign with child wearing white crown and hindquarters of lion,Northern prince (jmty-pḥw),,,,
𓈴,U+13234,Nome sign with child wearing white crown and hindquarters of lion,Northern prince (jmty-pḥw),,,,
𓈵,NL20,Nome sign with thorn and Sopdu,Sopdu (spdw),,,,
𓈵,U+13235,Nome sign with thorn and Sopdu,Sopdu (spdw),,,,
𓈶,NU1,"Nome sign with land, bow, bread loaf and land",Land of the Bow (tꜣ-stj),,,,
𓈶,U+13236,"Nome sign with land, bow, bread loaf and land",Land of the Bow (tꜣ-stj),,,,
𓈷,NU2,Nome sign with balance column and falcon,Throne of Horus (wṯst-ḥrw),,,,
𓈷,U+13237,Nome sign with balance column and falcon,Throne of Horus (wṯst-ḥrw),,,,
𓈸,NU3,Nome sign with emblem of Nekhen,Shrine (Nekhen) (nḫn),,,,
𓈸,U+13238,Nome sign with emblem of Nekhen,Shrine (Nekhen) (nḫn),,,,
𓈹,NU4,Nome sign with Was-scepter,Scepter (Waset) (wꜣst),,,,
𓈹,U+13239,Nome sign with Was-scepter,Scepter (Waset) (wꜣst),,,,
𓈺,NU5,Nome sign with two falcons,Two falcons/Two gods/Two Horuses (bjkwy/nṯrwy/ḥrwy),,,,
𓈺,U+1323A,Nome sign with two falcons,Two falcons/Two gods/Two Horuses (bjkwy/nṯrwy/ḥrwy),,,,
𓈻,NU6,Nome sign with crocodile with feather,"Crocodile (jqr, msḥ?)",,,,
𓈻,U+1323B,Nome sign with crocodile with feather,"Crocodile (jqr, msḥ?)",,,,
𓈼,NU7,Nome sign with Sistrum,Bat (bꜣt),,,,
𓈼,U+1323C,Nome sign with Sistrum,Sistrum (sšš),,,,
𓈽,NU8,Nome sign with Osiris fetish,Great land (tꜣ-wr),,,,
𓈽,U+1323D,Nome sign with Osiris fetish,Great land (tꜣ-wr),,,,
𓈾,NU9,Nome sign with emblem of Min,Min (mnw),,,,
𓈾,U+1323E,Nome sign with emblem of Min,Min (mnw),,,,
𓈿,NU10,Nome sign with cobra with feather,Wadjet (wꜣḏyt),,,,
𓈿,U+1323F,Nome sign with cobra with feather,Wadjet (wꜣḏyt),,,,
𓉀,NU10a,"Nome sign with papyrus column, cobra, and bread loaf",Wadjet (wꜣḏyt),,,,
𓉀,U+13240,"Nome sign with papyrus column, cobra, and bread loaf",Wadjet (wꜣḏyt),,,,
𓉁,NU11,Nome sign with Set-animal,Set-animal (šꜣ),,,,
𓉁,U+13241,Nome sign with Set-animal,Set-animal (šꜣ),,,,
𓉂,NU11a,"Nome sign with wick, Red crown, ripples of water",Set-animal (šꜣ),,,,
𓉂,U+13242,"Nome sign with wick, Red crown, ripples of water",Set-animal (šꜣ),,,,
𓉃,NU12,Nome sign with mountain and viper,Viper mountain (ḏw-ft),,,,
𓉃,U+13243,Nome sign with mountain and viper,Viper mountain (ḏw-ft),,,,
𓉄,NU13,Nome sign with tree crossed by viper and simplified jars,Southern ꜣtf/nḏft-tree (ꜣtf-ḫntt/nḏft-ḫntt),,,,
𓉄,U+13244,Nome sign with tree crossed by viper and simplified jars,Southern ꜣtf/nḏft-tree (ꜣtf-ḫntt/nḏft-ḫntt),,,,
𓉅,NU14,"Nome sign with tree crossed by viper, hindquarters of lion, bread loaf",Northern ꜣtf/nḏft-tree (ꜣtf-pḥt/nḏft-ḫntt),,,,
𓉅,U+13245,"Nome sign with tree crossed by viper, hindquarters of lion, bread loaf",Northern ꜣtf/nḏft-tree (ꜣtf-pḥt/nḏft-ḫntt),,,,
𓉆,NU15,Nome sign with hare,Hare (wnt),,,,
𓉆,U+13246,Nome sign with hare,Hare (wnt),,,,
𓉇,NU16,Nome sign with oryx,Oryx (mꜣ-ḥḏ),,,,
𓉇,U+13247,Nome sign with oryx,Oryx (mꜣ-ḥḏ),,,,
𓉈,NU17,Nome sign with jackal,"Jackal (Anubis, Anput) (jnpw(t))",,,,
𓉈,U+13248,Nome sign with jackal,"Jackal (Anubis, Anput) (jnpw(t))",,,,
𓉉,NU18,"Nome sign with falcon, wings spread",Nemty (nmty),,,,
𓉉,U+13249,"Nome sign with falcon, wings spread",Nemty (nmty),,,,
𓉊,NU18a,Nome sign with falcon on boat,Nemty (nmty),,,,
𓉊,U+1324A,Nome sign with falcon on boat,Nemty (nmty),,,,
𓉋,NU19,Nome sign with two Was-scepters and foot,"Wabwi, Two Scepters? (wꜣbwy)",,,,
𓉋,U+1324B,Nome sign with two Was-scepters and foot,"Wabwi, Two Scepters? (wꜣbwy)",,,,
𓉌,NU20,Nome sign with tree and simplified jars,Southern nꜥrt-tree (nꜥrt-ḫntt),,,,
𓉌,U+1324C,Nome sign with tree and simplified jars,Southern nꜥrt-tree (nꜥrt-ḫntt),,,,
𓉍,NU21,"Nome sign with tree, hindquarters of a lion, and bread loaf",Northern nꜥrt-tree (nꜥrt-pḥt),,,,
𓉍,U+1324D,"Nome sign with tree, hindquarters of a lion, and bread loaf",Northern nꜥrt-tree (nꜥrt-pḥt),,,,
𓉎,NU22,Nome sign with knife,Knife (mdnjt),,,,
𓉎,U+1324E,Nome sign with knife,Knife (mdnjt),,,,
𓉏,NU22a,Nome sign with knife,Knife (mdnjt),,,,
𓉏,U+1324F,Nome sign with knife,Knife (mdnjt),,,,
𓉐,O1,house,House (pr),,,,
𓉐,U+13250,house,House (pr),,,,
𓉑,O1A,combination of house and ankh,House of Life (Scriptorium) (pr-ꜥnḫ),,,,
𓉑,U+13251,combination of house and ankh,House of Life (Scriptorium) (pr-ꜥnḫ),,,,
𓉒,O2,combination of house and mace with round head,Treasury (pr-ḥḏ),,,,
𓉒,U+13252,combination of house and mace with round head,Treasury (pr-ḥḏ),,,,
𓉓,O3,"combination of house, oar, tall loaf and beer jug",Voice-offering (prt-ḫrw),,,,
𓉓,U+13253,"combination of house, oar, tall loaf and beer jug",Voice-offering (prt-ḫrw),,,,
𓉔,O4,shelter,Courtyard (h),,,,
𓉔,U+13254,shelter,Courtyard (h),,,,
𓉕,O5,winding wall from upper-left corner,Avenue (mrrt),,,,
𓉕,U+13255,winding wall from upper-left corner,Avenue (mrrt),,,,
𓉖,O5A,winding wall from lower-left corner,Avenue (mrrt),,,,
𓉖,U+13256,winding wall from lower-left corner,Avenue (mrrt),,,,
𓉗,O6,enclosure,"House, mansion (ḥwt)",,,,
𓉗,U+13257,enclosure,"House, mansion (ḥwt)",,,,
𓉘,O6A,opening of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉘,U+13258,opening of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉙,O6B,opening of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉙,U+13259,opening of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉚,O6C,opening of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉚,U+1325A,opening of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉛,O6D,closing of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉛,U+1325B,closing of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉜,O6E,closing of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉜,U+1325C,closing of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉝,O6F,closing of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉝,U+1325D,closing of ḥwt-enclosure,"House, mansion (ḥwt)",,,,
𓉞,O7,combination of enclosure and flat loaf,"House, mansion (ḥwt)",,,,
𓉞,U+1325E,combination of enclosure and flat loaf,"House, mansion (ḥwt)",,,,
𓉟,O8,"combination of enclosure, flat loaf and wooden column",Great house (ḥwt-ꜥꜣt) (Not to be confused with pr-ꜥꜣ),,,,
𓉟,U+1325F,"combination of enclosure, flat loaf and wooden column",Great house (ḥwt-ꜥꜣt) (Not to be confused with pr-ꜥꜣ),,,,
𓉠,O9,"combination of enclosure, flat loaf and basket",Nephthys (nbt-ḥwt),,,,
𓉠,U+13260,"combination of enclosure, flat loaf and basket",Nephthys (nbt-ḥwt),,,,
𓉡,O10,combination of enclosure and falcon,Hathor (ḥwt-ḥrw),,,,
𓉡,U+13261,combination of enclosure and falcon,Hathor (ḥwt-ḥrw),,,,
𓉢,O10A,combination of enclosure and ankh,House of Life (ḥwt-ꜥnḫ) (Not to be confused with pr-ꜥnḫ),,,,
𓉢,U+13262,combination of enclosure and ankh,House of Life (ḥwt-ꜥnḫ) (Not to be confused with pr-ꜥnḫ),,,,
𓉣,O10B,combination of enclosure and bee,House of the king of Lower Egypt (ḥwt-bjty),,,,
𓉣,U+13263,combination of enclosure and bee,House of the king of Lower Egypt (ḥwt-bjty),,,,
𓉤,O10C,combination of shrine in profile and face,House of the king of Lower Egypt (ḥwt-bjty),,,,
𓉤,U+13264,combination of shrine in profile and face,House of the king of Lower Egypt (ḥwt-bjty),,,,
𓉥,O11,palace,Palace (ꜥḥ),,,,
𓉥,U+13265,palace,Palace (ꜥḥ),,,,
𓉦,O12,combination of palace and forearm,Palace (ꜥḥ),,,,
𓉦,U+13266,combination of palace and forearm,Palace (ꜥḥ),,,,
𓉧,O13,battlemented enclosure,Portal (sbḫt),,,,
𓉧,U+13267,battlemented enclosure,Wide (wsḫ),,,,
𓉧,U+13267,battlemented enclosure,Wide hall (wsḫt),,,,
𓉨,O14,part of battlemented enclosure,Portal (sbḫt),,,,
𓉨,U+13268,part of battlemented enclosure,Portal (sbḫt),,,,
𓉩,O15,enclosure with cup and flat loaf,Wide hall (wsḫt),,,,
𓉩,U+13269,enclosure with cup and flat loaf,Wide hall (wsḫt),,,,
𓉪,O16,gateway with serpents,Gate (rwt),,,,
𓉪,U+1326A,gateway with serpents,"Shroud, door (tꜣyt)",,,,
𓉫,O17,open gateway with serpents,Gate (rwt),,,,
𓉫,U+1326B,open gateway with serpents,"Shroud, door (tꜣyt)",,,,
𓉬,O18,shrine in profile,Shrine (kꜣrj),,,,
𓉬,U+1326C,shrine in profile,Shrine (kꜣrj),,,,
𓉭,O19,shrine with fence,Shrine (jtrt),,,,
𓉭,U+1326D,shrine with fence,Great House (archaic shrine of El Kab and Upper Egypt) (pr-wr),,,,
𓉮,O19A,shrine,Shrine (jtrt),,,,
𓉮,U+1326E,shrine,Great House (archaic shrine of El Kab and Upper Egypt) (pr-wr),,,,
𓉯,O20,shrine,Shrine (jtrt),,,,
𓉯,U+1326F,shrine,House of the Jar (archaic shrine of Buto) and Lower Egypt (pr-nw),,,,
𓉰,O20A,shrine,Shrine (jtrt),,,,
𓉰,U+13270,shrine,House of the Jar (archaic shrine of Buto) and Lower Egypt (pr-nw),,,,
𓉱,O21,façade of shrine,Booth (sḥ),,,,
𓉱,U+13271,façade of shrine,Booth (sḥ),,,,
𓉲,O22,booth with pole,Booth (sḥ),,,,
𓉲,U+13272,booth with pole,Festival (ḥ(ꜣ)b),,,,
𓉳,O23,double platform,Sed festival (ḥ(ꜣ)b-sd),,,,
𓉳,U+13273,double platform,Sed festival (ḥ(ꜣ)b-sd),,,,
𓉴,O24,pyramid,Pyramid (mr),,,,
𓉴,U+13274,pyramid,Pyramid (mr),,,,
𓉵,O24A,pedestal of sun temple,Ascend (jꜥ(r)),,,,
𓉵,U+13275,pedestal of sun temple,Ascend (jꜥ(r)),,,,
𓉶,O25,obelisk,Obelisk (tḫn),,,,
𓉶,U+13276,obelisk,Monument (mn),,,,
𓉷,O25A,obelisk and pedestal of sun temple,Monument (mn),,,,
𓉷,U+13277,obelisk and pedestal of sun temple,Monument (mn),,,,
𓉸,O26,stela,Stela (ꜥḥꜥw),,,,
𓉸,U+13278,stela,Decree (wḏ),,,,
𓉹,O27,hall of columns,Office (ḫꜣ),,,,
𓉹,U+13279,hall of columns,Office (ḫꜣ),,,,
𓉺,O28,column,Column (jwn),,,,
𓉺,U+1327A,column,Column (jwn),,,,
𓉻,O29,horizontal wooden column,Column (ꜥꜣ),,,,
𓉻,U+1327B,horizontal wooden column,Great (esp. of size) (ꜥꜣ),,,,
𓉼,O29A,vertical wooden column,Column (ꜥꜣ),,,,
𓉼,U+1327C,vertical wooden column,Great (esp. of size) (ꜥꜣ),,,,
𓉽,O30,support,"Post, support (sḫnt)",,,,
𓉽,U+1327D,support,"Post, support (sḫnt)",,,,
𓉾,O30A,four supports,The 4 supports of the sky (sḫnt),,,,
𓉾,U+1327E,four supports,The 4 supports of the sky (sḫnt),,,,
𓉿,O31,door,Door (ꜥꜣ),,,,
𓉿,U+1327F,door,Door (ꜥꜣ),,,,
𓊀,O32,gateway,Gate (sbꜣ),,,,
𓊀,U+13280,gateway,Gate (sbꜣ),,,,
𓊁,O33,façade of palace,Palace (srḫ),,,,
𓊁,U+13281,façade of palace,Palace (srḫ),,,,
𓊂,O33A,closing of srḫ-enclosure,Palace (srḫ),,,,
𓊂,U+13282,closing of srḫ-enclosure,Palace (srḫ),,,,
𓊃,O34,door bolt,Doorbolt (s),,,,
𓊃,U+13283,door bolt,Doorbolt (s),,,,
𓊄,O35,combination of bolt and legs,Go (sj),,,,
𓊄,U+13284,combination of bolt and legs,Go (sj),,,,
𓊅,O36,wall,Wall (jnb),,,,
𓊅,U+13285,wall,Wall (jnb),,,,
𓊆,O36A,opening of oval fortified wall enclosure,Wall (jnb),,,,
𓊆,U+13286,opening of oval fortified wall enclosure,Wall (jnb),,,,
𓊇,O36B,closing of oval fortified wall enclosure,Wall (jnb),,,,
𓊇,U+13287,closing of oval fortified wall enclosure,Wall (jnb),,,,
𓊈,O36C,opening of square fortified wall enclosure,Wall (jnb),,,,
𓊈,U+13288,opening of square fortified wall enclosure,Wall (jnb),,,,
𓊉,O36D,closure of square fortified wall enclosure,Wall (jnb),,,,
𓊉,U+13289,closure of square fortified wall enclosure,Wall (jnb),,,,
𓊊,O37,falling wall,"Tilt, favor (gsꜣ)",,,,
𓊊,U+1328A,falling wall,Demolish (sẖnn),,,,
𓊋,O38,corner of wall,"Corner, angle, court of magistrates (qnbt)",,,,
𓊋,U+1328B,corner of wall,Gateway (ꜥrrt),,,,
𓊌,O39,stone,Stone (jnr),,,,
𓊌,U+1328C,stone,Stone (jnr),,,,
𓊍,O40,stair single,"Throne, stairs (ḫndw)",,,,
𓊍,U+1328D,stair single,"Throne, stairs (ḫndw)",,,,
𓊎,O41,double stairway,Ascend (jꜥ(r)),,,,
𓊎,U+1328E,double stairway,Ascend (jꜥ(r)),,,,
𓊏,O42,fence,Palm (šsp),,,,
𓊏,U+1328F,fence,Receive (šsp),,,,
𓊐,O43,low fence,Palm (šsp),,,,
𓊐,U+13290,low fence,Receive (šsp),,,,
𓊑,O44,emblem of Min,"Office, position (jꜣt)",,,,
𓊑,U+13291,emblem of Min,"Office, position (jꜣt)",,,,
𓊒,O45,domed building,"Harem, temple chamber (jpt)",,,,
𓊒,U+13292,domed building,"Harem, temple chamber (jpt)",,,,
𓊓,O46,domed building,"Harem, temple chamber (jpt)",,,,
𓊓,U+13293,domed building,"Harem, temple chamber (jpt)",,,,
𓊔,O47,enclosed mound,Nekhen (nḫn),,,,
𓊔,U+13294,enclosed mound,Nekhen (nḫn),,,,
𓊕,O48,enclosed mound,Nekhen (nḫn),,,,
𓊕,U+13295,enclosed mound,"Twice, doubled (sp-snw)",,,,
𓊖,O49,village,Town (njwt),,,,
𓊖,U+13296,village,Buto (p),,,,
𓊗,O50,threshing floor,Threshing floor (spt),,,,
𓊗,U+13297,threshing floor,"Time, occasion, etc. (sp)",,,,
𓊘,O50A,hieratic threshing floor,"Time, occasion, etc. (sp)",,,,
𓊘,U+13298,hieratic threshing floor,"Time, occasion, etc. (sp)",,,,
𓊙,O50B,O50A reversed,"Time, occasion, etc. (sp)",,,,
𓊙,U+13299,O50A reversed,"Time, occasion, etc. (sp)",,,,
𓊚,O51,pile of grain,Granary (šnwt),,,,
𓊚,U+1329A,pile of grain,Granary (šnwt),,,,
𓊛,P1,0,"ship, boat (dpt, jmw)",,,,
𓊛,U+1329B,0,Ships (ꜥhꜥw),,,,
𓊛,U+1329B,0,"sail, go downstream (ḫdj)",,,,
𓊜,P1A,boat upside down,Turn over (pnꜥ),,,,
𓊜,U+1329C,boat upside down,Turn over (pnꜥ),,,,
𓊝,P2,ship under sail,sail upstream (ḫntj),,,,
𓊝,U+1329D,ship under sail,sail upstream (ḫntj),,,,
𓊞,P3,sacred barque,"Ferry, traverse (ḏꜣj)",,,,
𓊞,U+1329E,sacred barque,sacred barque (wiꜣ),,,,
𓊟,P3A,sacred barque without steering oar,sacred barque (wiꜣ),,,,
𓊟,U+1329F,sacred barque without steering oar,sacred barque (wiꜣ),,,,
𓊠,P4,boat with net,Release (wḥꜥ),,,,
𓊠,U+132A0,boat with net,"Fisherman, fowler (wḥꜥ)",,,,
𓊡,P5,sail,sail (ṯꜣwt),,,,
𓊡,U+132A1,sail,"sailor (nfw),",,,,
𓊡,U+132A1,sail,"wind, breath (ṯꜣw)",,,,
𓊡,U+132A1,sail,north wind (mḥyt),,,,
𓊢,P6,mast,mast (ꜥḥꜥ),,,,
𓊢,U+132A2,mast,to stand (ꜥḥꜥ),,,,
𓊣,P7,combination of mast and forearm,to stand (ꜥḥꜥ),,,,
𓊣,U+132A3,combination of mast and forearm,to stand (ꜥḥꜥ),,,,
𓊤,P8,oar,oar (wsr),,,,
𓊤,U+132A4,oar,Voice (ḫrw),,,,
𓊥,P9,combination of oar and horned viper,says (parenthetic) (ḫrwfj),,,,
𓊥,U+132A5,combination of oar and horned viper,says (parenthetic) (ḫrwfj),,,,
𓊦,P10,rudder,steering oar (ḥmw),,,,
𓊦,U+132A6,rudder,steering oar (ḥmw),,,,
𓊧,P11,mooring,mooring post (m(j)njt),,,,
𓊧,U+132A7,post,mooring post (m(j)njt),,,,
𓊨,Q1,seat,"Seat, place (st)",,,,
𓊨,U+132A8,throne,"Seat, place (st)",,,,
𓊩,Q2,carrying,"Seat, place (st)",,,,
𓊩,U+132A9,chair,"Seat, place (st)",,,,
𓊪,Q3,stool,"Base, mat, stool (p)",,,,
𓊪,U+132AA,stool,Buto (p),,,,
𓊫,Q4,headrest,Headrest (wrs),,,,
𓊫,U+132AB,headrest,Headrest (wrs),,,,
𓊫,U+132AB,headrest,Headrest (wrs),,,,
𓊫,U+132AB,headrest,Headrest (wrs),,,,
𓊫,U+132AB,headrest,Headrest (wrs),,,,
𓊫,U+132AB,headrest,Headrest (wrs),,,,
𓊬,Q5,chest,box (hn),,,,
𓊬,U+132AC,chest,box (hn),,,,
𓊭,Q6,sarcophagus,"coffin, burial (qrst), bury (qrs)",,,,
𓊭,U+132AD,sarcophagus,"coffin, burial (qrst), bury (qrs)",,,,
𓊮,Q7,brazier,"fire, flame (nsr(sr))",,,,
𓊮,U+132AE,brazier,torch (tkꜣ),,,,
𓊮,U+132AE,brazier,cook (psj),,,,
𓊮,U+132AE,brazier,warmth (srf),,,,
𓊮,U+132AE,brazier,Lamp (ḫꜣbs),,,,
𓊯,R1,high table with offerings,offering table (ḫꜣwt),,,,
𓊯,U+132AF,high table with offerings,Offerings (wdḥw),,,,
𓊯,U+132AF,high table with offerings,"Offering, satisfy (ḥtp)",,,,
𓊰,R2,table with slices of bread,offering table (ḫꜣwt),,,,
𓊰,U+132B0,table with slices of bread,offering table (ḫꜣwt),,,,
𓊱,R2A,high table with offerings,offering table (ḫꜣwt),,,,
𓊱,U+132B1,high table with offerings,offering table (ḫꜣwt),,,,
𓊲,R3,low table with offerings,offering table (ḫꜣwt),,,,
𓊲,U+132B2,low table with offerings,Offerings (wdḥw),,,,
𓊲,U+132B2,low table with offerings,"Offering, satisfy (ḥtp)",,,,
𓊳,R3A,low table,offering table (ḫꜣwt),,,,
𓊳,U+132B3,low table,Offerings (wdḥw),,,,
𓊳,U+132B3,low table,"Offering, satisfy (ḥtp)",,,,
𓊴,R3B,low table with offerings (simplified),"Offering, satisfy (ḥtp)",,,,
𓊴,U+132B4,low table with offerings (simplified),"Offering, satisfy (ḥtp)",,,,
𓊵,R4,loaf on mat,"Altar, offering, peace, be satisfied, be at peace, rest, set (of the sun) ((ḥtp)",,,,
𓊵,U+132B5,loaf on mat,"Altar, offering, peace, be satisfied, be at peace, rest, set (of the sun) ((ḥtp)",,,,
𓊶,R5,narrow censer,"Cense, fumigate (kꜣp)",,,,
𓊶,U+132B6,narrow censer,"Cense, fumigate (kꜣp)",,,,
𓊷,R6,broad censer,"Cense, fumigate (kꜣp)",,,,
𓊷,U+132B7,broad censer,"Cense, fumigate (kꜣp)",,,,
𓊸,R7,bowl with smoke,Incense (snṯr),,,,
𓊸,U+132B8,bowl with smoke,Ba-soul (bꜣ),,,,
𓊹,R8,Cloth on pole,God (nṯr),,,,
𓊹,U+132B9,Cloth on pole,God (nṯr),,,,
𓊺,R9,combination of cloth on pole and bag,"Natron (bd, nṯry)",,,,
𓊺,U+132BA,combination of cloth on pole and bag,"Natron (bd, nṯry)",,,,
𓊻,R10,"combination of cloth on pole, butcher's block and slope of hill",Necropolis (ẖrt-nṯr),,,,
𓊻,U+132BB,"combination of cloth on pole, butcher's block and slope of hill",Necropolis (ẖrt-nṯr),,,,
𓊼,R10A,combination of cloth on pole and butcher's block,Necropolis (ẖrt-nṯr),,,,
𓊼,U+132BC,combination of cloth on pole and butcher's block,Necropolis (ẖrt-nṯr),,,,
𓊽,R11,reed column,Be stable (ḏd),,,,
𓊽,U+132BD,reed column,Be stable (ḏd),,,,
𓊾,R12,standard,Standard (jꜣt),,,,
𓊾,U+132BE,standard,Standard (jꜣt),,,,
𓊿,R13,falcon and feather on standard,"West (jmnty, jmntt)",,,,
𓊿,U+132BF,falcon and feather on standard,"West (jmnty, jmntt)",,,,
𓋀,R14,Emblem,"West (jmnty, jmntt)",,,,
𓋀,U+132C0,of the West,"'""right""' (wnmj)",,,,
𓋁,R15,"spear, Emblem of the East","East (jꜣbty, jꜣbtt)",,,,
𓋁,U+132C1,"spear, Emblem of the East",Left (jꜣbj),,,,
𓋂,R16,sceptre with feathers and string,Wekh-fetish of Nefertem (wḫ),,,,
𓋂,U+132C2,sceptre with feathers and string,Wekh-fetish of Nefertem (wḫ),,,,
𓋃,R16A,sceptre with feathers,Wekh-fetish (wḫ),,,,
𓋃,U+132C3,sceptre with feathers,Wekh-fetish (wḫ),,,,
𓋄,R17,wig on pole,Great Land (8th nome of Upper Egypt) (tꜣ-wr),,,,
𓋄,U+132C4,wig on pole,Great Land (8th nome of Upper Egypt) (tꜣ-wr),,,,
𓋅,R18,combination of wig on pole and irrigation canal system,Great Land (8th nome of Upper Egypt) (tꜣ-wr),,,,
𓋅,U+132C5,combination of wig on pole and irrigation canal system,Great Land (8th nome of Upper Egypt) (tꜣ-wr),,,,
𓋆,R19,scepter with feather,Waset (Thebes (wꜣst),,,,
𓋆,U+132C6,scepter with feather,Iatet (A milk goddess) (jꜣtt),,,,
𓋇,R20,flower with horns,"Seshat (sšꜣt, sẖꜣt)",,,,
𓋇,U+132C7,flower with horns,"Seshat (sšꜣt, sẖꜣt)",,,,
𓋈,R21,flower with horns,"Seshat (sšꜣt, sẖꜣt)",,,,
𓋈,U+132C8,flower with horns,"Seshat (sšꜣt, sẖꜣt)",,,,
𓋉,R22,two narrow belemnites,Min (mnw),,,,
𓋉,U+132C9,two narrow belemnites,Shrine (ḫm),,,,
𓋉,U+132C9,two narrow belemnites,Letopolis (ḫm),,,,
𓋊,R23,two broad belemnites,Min (mnw),,,,
𓋊,U+132CA,two broad belemnites,Shrine (ḫm),,,,
𓋊,U+132CA,two broad belemnites,Letopolis (ḫm),,,,
𓋋,R24,two bows tied horizontally,Neith (nt),,,,
𓋋,U+132CB,two bows tied horizontally,Neith (nt),,,,
𓋌,R25,two bows tied vertically,Neith (nt),,,,
𓋌,U+132CC,two bows tied vertically,Neith (nt),,,,
𓋍,R26,"combination of land, lung and windpipe, lily, and papyrus",To unite the two lands (smꜣ-tꜣwy),,,,
𓋍,U+132CD,"combination of land, lung and windpipe, lily, and papyrus",To unite the two lands (smꜣ-tꜣwy),,,,
𓋎,R27,two arrows crossed over a shield,Neith (nt),,,,
𓋎,U+132CE,two arrows crossed over a shield,Neith (nt),,,,
𓋏,R28,Bat,Bat (bꜣt),,,,
𓋏,U+132CF,Bat,Bat (bꜣt),,,,
𓋐,R29,niche with serpent,"Shrine (jtrt), in jtrty “Double shrines”",,,,
𓋐,U+132D0,niche with serpent,"Shrine (jtrt), in jtrty “Double shrines”",,,,
𓋑,S1,white crown,"White crown (ḥḏt, wrt, wrrt)",,,,
𓋑,U+132D1,white crown,"Beautiful, good (nfr) (Ptolemaic)",,,,
𓋑,U+132D1,white crown,Kingship (nsyt),,,,
𓋑,U+132D1,white crown,King( of Upper Egypt) (nswt),,,,
𓋑,U+132D1,white crown,Upper Egypt(ian) (šmꜥw),,,,
𓋒,S2,combination of white crown and basket,"White crown (ḥḏt, wrt, wrrt)",,,,
𓋒,U+132D2,combination of white crown and basket,"White crown (ḥḏt, wrt, wrrt)",,,,
𓋓,S2A,combination of white crown and village,Upper Egypt(ian) (šmꜥw),,,,
𓋓,U+132D3,combination of white crown and village,Upper Egypt(ian) (šmꜥw),,,,
𓋔,S3,red crown,"Red crown (dšrt, nt)",,,,
𓋔,U+132D4,red crown,King (of Lower Egypt) (bjty),,,,
𓋔,U+132D4,red crown,"Lower Egypt(ian), North (mḥw)",,,,
𓋕,S4,combination of red crown and basket,"Red crown (dšrt, nt)",,,,
𓋕,U+132D5,combination of red crown and basket,King (of Lower Egypt) (bjty),,,,
𓋖,S5,Pschent Crown,Double crown (sḫmty) (lit. ‘two powers’),,,,
𓋖,U+132D6,Pschent Crown,Upper and Lower Egypt (šmꜥw-mḥw),,,,
𓋖,U+132D6,Pschent Crown,Dual king (nswt-bjty),,,,
𓋗,S6,combination of Pschent Crown and basket,Double crown (sḫmty) (lit. ‘two powers’),,,,
𓋗,U+132D7,combination of Pschent Crown and basket,Dual king (nswt-bjty),,,,
𓋘,S6A,combination of red crown and village,"Lower Egypt(ian), North (mḥw)",,,,
𓋘,U+132D8,combination of red crown and village,"Lower Egypt(ian), North (mḥw)",,,,
𓋙,S7,blue crown,Khepresh (ḫprš),,,,
𓋙,U+132D9,blue crown,Khepresh (ḫprš),,,,
